system:index,dewpoint_temperature_2m,gauge_id,potential_evaporation,snow_depth_water_equivalent,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,.geo
19911230T00_00000000000000000000,293.220657465829,3858.0,-0.01167008592668027,-7.345364920210326E-25,2.0737081674154337E7,-7396509.753064336,96949.84748425084,296.64653553115573,8.061869145121965E-4,-3.62386028268322,-0.47505252767295253,0.25343122276102664,0.2856398702915754,0.32602735960199464,0.3547719742424127,"{""type"":""MultiPoint"",""coordinates"":[]}"
19911230T01_00000000000000000000,293.3492795005138,3858.0,-1.0504398942859925E-4,-7.345364920210326E-25,0.0,-210549.38171885666,96984.57449760637,296.0902499874647,1.0490278901590202E-5,-3.3977892635509392,-0.48340169651854864,0.2535031840579113,0.2856413027345803,0.3260264372836911,0.35477080228007746,"{""type"":""MultiPoint"",""coordinates"":[]}"
19911230T02_00000000000000000000,293.47154292671996,3858.0,-1.908106009375792E-4,-7.345364920210326E-25,0.0,-384689.0102681625,96988.6703993421,295.70181447960783,1.9324251141300566E-5,-3.349729546091345,-0.4800378668094409,0.25356390374758747,0.2856418802872517,0.32602365748535733,0.35477041256246533,"{""type"":""MultiPoint"",""coordinates"":[]}"
19911230T03_00000000000000000000,293.5405993415703,3858.0,-2.6281468471852916E-4,-7.345364920210326E-25,0.0,-537985.3602832865,96901.74832809456,295.3601200164566,3.105403805567342E-5,-2.7805425192494644,-0.4306664850906353,0.25365130725366725,0.285643936438979,0.32602365748535733,0.3547694340541867,"{""type"":""MultiPoint"",""coordinates"":[]}"
19911230T04_00000000000000000000,293.50759721934884,3858.0,-3.3696270202156176E-4,-7.345364920210326E-25,0.0,-626625.2606923037,96854.13650832334,295.31463725232345,3.9830985148103905E-5,-2.574673961041583,-0.5219036806475716,0.2537139177360015,0.2856446937995704,0.3260218140528211,0.3547687284686437,"{""type"":""MultiPoint"",""coordinates"":[]}"
19911230T05_00000000000000000000,293.4649356503095,3858.0,-3.925456134216846E-4,-7.345364920210326E-25,0.0,-760923.8299621226,96827.19945609645,295.0866638509495,4.669587951988565E-5,-2.155652029497129,-0.48375932483872763,0.2537653243386819,0.28564713284584153,0.3260217731144107,0.3547684816341108,"{""type"":""MultiPoint"",""coordinates"":[]}"
19911230T06_00000000000000000000,293.39899549053297,3858.0,-4.329295504893688E-4,-7.345364920210326E-25,0.0,-908021.9793913407,96843.38766217645,294.8836960078878,5.2597662395276804E-5,-1.8773663083484409,-0.4688558161581662,0.25381060944494527,0.2856480367017246,0.3260211827183164,0.3547669368111558,"{""type"":""MultiPoint"",""coordinates"":[]}"
19911230T07_00000000000000000000,293.4520192888562,3858.0,-4.730346648936657E-4,-7.345364920210326E-25,0.0,-1016421.908359198,96896.6861572972,294.93413148886316,6.392760654697099E-5,-1.8597923301685955,-0.7554748100085298,0.25389854033407583,0.2856500434865454,0.32602077333421303,0.3547669368111558,"{""type"":""MultiPoint"",""coordinates"":[]}"
19911230T08_00000000000000000000,293.3804657955311,3858.0,-5.060402459224749E-4,-7.345364920210326E-25,0.0,-1154791.8502288386,96956.08680160544,294.7377953447831,8.13391354187615E-5,-1.7133046415654973,-0.7976395095615685,0.25403795328099626,0.2856514815485479,0.32602054175124473,0.35476614894743513,"{""type"":""MultiPoint"",""coordinates"":[]}"
19911230T09_00000000000000000000,293.3079748936834,3858.0,-5.667865371580556E-4,-7.345364920210326E-25,102843.62170550789,-1264767.2055868271,96989.97101229185,294.9745832562942,8.784926903731342E-5,-2.0146222609987987,-0.9562326234910522,0.25408373647125215,0.2856534494017431,0.3260194757471481,0.3547652001395719,"{""type"":""MultiPoint"",""coordinates"":[]}"
