system:index,dewpoint_temperature_2m,gauge_id,potential_evaporation,snow_depth_water_equivalent,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,.geo
19951229T00_00000000000000000000,291.80897959532035,3858.0,-0.011891324712150979,-7.345364920210326E-25,2.252407641990635E7,-7210690.1829659585,96859.24685921801,297.8131073791128,5.004057280303818E-5,-3.180826388614985,-0.9462528941168373,0.2548459033122212,0.3060981079820793,0.3207933055751859,0.32155730822290896,"{""type"":""MultiPoint"",""coordinates"":[]}"
19951229T01_00000000000000000000,291.87960088572214,3858.0,-1.7679844414545355E-4,-7.345364920210326E-25,0.0,-261970.89534233793,96883.50805169587,297.06702009497343,0.0,-2.885564145600879,-1.3031115591874083,0.2548287513223588,0.30609053879109266,0.3207923226519807,0.32155652035918836,"{""type"":""MultiPoint"",""coordinates"":[]}"
19951229T02_00000000000000000000,292.0204748073113,3858.0,-3.2058009983921437E-4,-7.345364920210326E-25,0.0,-517115.0931400914,96878.49792409188,296.46039275826047,0.0,-2.3678214955012566,-1.414117994172512,0.2548207089315114,0.3060798494510669,0.3207920910690124,0.32155652035918836,"{""type"":""MultiPoint"",""coordinates"":[]}"
19951229T03_00000000000000000000,292.1508198489808,3858.0,-4.260594094727415E-4,-7.345364920210326E-25,0.0,-765554.9869272449,96839.44870727346,295.94142294564693,0.0,-1.9068559639281677,-1.4681850374952168,0.2548183846733322,0.3060719110116732,0.32079067989792653,0.3215565416311075,"{""type"":""MultiPoint"",""coordinates"":[]}"
19951229T04_00000000000000000000,292.24953477269383,3858.0,-5.1217110034552E-4,-7.345364920210326E-25,0.0,-973261.1724446311,96810.58387679848,295.62595478727917,7.392552375693117E-8,-1.6189318575696772,-1.4811489887971019,0.25481941294987426,0.30606429887549147,0.32079067989792653,0.32155573570632356,"{""type"":""MultiPoint"",""coordinates"":[]}"
19951229T05_00000000000000000000,292.3023864627292,3858.0,-5.744780165946956E-4,-7.345364920210326E-25,0.0,-1198269.3450733866,96786.86868185794,295.24422773390995,2.9747841315415206E-7,-1.4102691204081683,-1.4342957816273716,0.254825749573624,0.3060564358912072,0.32079028255453207,0.32155573570632356,"{""type"":""MultiPoint"",""coordinates"":[]}"
19951229T06_00000000000000000000,292.3145170523343,3858.0,-6.249938320880608E-4,-7.345364920210326E-25,0.0,-1406529.6766531642,96808.96636317828,294.9901027250995,9.100790719029226E-7,-1.3295233268603335,-1.5390697440918457,0.2548379496212628,0.306049163704374,0.3207895573024979,0.32155573570632356,"{""type"":""MultiPoint"",""coordinates"":[]}"
19951229T07_00000000000000000000,292.2529403852684,3858.0,-6.823284748750189E-4,-7.345364920210326E-25,0.0,-1568412.80901152,96811.00609559118,295.017204762684,2.0493237594983966E-6,-1.2781567177959894,-2.0029286211948842,0.2548530386363295,0.30604114419087364,0.3207885093594645,0.32155436065736437,"{""type"":""MultiPoint"",""coordinates"":[]}"
19951229T08_00000000000000000000,292.13776836669183,3858.0,-7.518486336506209E-4,-7.345364920210326E-25,0.0,-1730041.7493292645,96864.63561955848,294.94351501962524,3.2490100383134208E-6,-1.1536489588337984,-2.0312110290414953,0.25486518088856563,0.30603282767321976,0.3207885093594645,0.3215539785655345,"{""type"":""MultiPoint"",""coordinates"":[]}"
19951229T09_00000000000000000000,292.07702792525527,3858.0,-8.481387910270205E-4,-7.345364920210326E-25,112632.50470829604,-1901470.8143247936,96903.3773681217,295.21176639845663,3.7262099463898917E-6,-0.982186114708411,-1.9029840909548599,0.2548671178372745,0.3060215487398135,0.32078583832886814,0.3215536012899882,"{""type"":""MultiPoint"",""coordinates"":[]}"
