system:index,dewpoint_temperature_2m,gauge_id,potential_evaporation,snow_depth_water_equivalent,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,.geo
19991228T00_00000000000000000000,292.6099261971649,3858.0,-0.008519357972890034,-7.345364920210326E-25,1.7692804965858284E7,-5096415.013256875,96887.06059054259,295.96665007628224,0.0010674526183281218,-2.1736960697289454,0.9302662782148805,0.3324778519347024,0.29916003998491464,0.298720456980801,0.3162884633703781,"{""type"":""MultiPoint"",""coordinates"":[]}"
19991228T01_00000000000000000000,292.8721014578003,3858.0,-6.349128640369359E-5,-7.345364920210326E-25,0.0,-204001.0860858672,96877.72068945957,295.4505794849643,3.9353510874915226E-7,-2.0532736839717067,0.5666984067647257,0.332356266862772,0.2991832885870621,0.29872027917966587,0.31628821653584516,"{""type"":""MultiPoint"",""coordinates"":[]}"
19991228T02_00000000000000000000,293.0099911009206,3858.0,-1.187158891667296E-4,-7.345364920210326E-25,0.0,-345724.5569368457,96846.42056599831,295.1987612712916,5.588769419646424E-6,-1.9621592394286813,0.27907398241335973,0.33227599988487155,0.29920365143263755,0.29872027917966587,0.31628821653584516,"{""type"":""MultiPoint"",""coordinates"":[]}"
19991228T03_00000000000000000000,293.119504033663,3858.0,-1.565304058755088E-4,-7.345364920210326E-25,0.0,-500652.05200168345,96776.948352795,294.8834953125487,9.063652657441569E-6,-1.4963121058481963,-0.0028294405710678986,0.33219865277888516,0.2992239259796808,0.29872060508152076,0.31628821653584516,"{""type"":""MultiPoint"",""coordinates"":[]}"
19991228T04_00000000000000000000,293.16797206761646,3858.0,-1.853490180221147E-4,-7.345364920210326E-25,0.0,-624644.8374322684,96730.57849489058,294.7586710338522,1.2910417717380735E-5,-1.0451006409972536,-0.2112657135706521,0.3321321651882772,0.29924669215075744,0.2987205717688928,0.31628821653584516,"{""type"":""MultiPoint"",""coordinates"":[]}"
19991228T05_00000000000000000000,293.1640921867692,3858.0,-2.099246328929916E-4,-7.345364920210326E-25,0.0,-728601.4180125201,96739.55368160314,294.66585937512855,1.6310365865793585E-5,-0.5741902030845684,-0.42412411362000163,0.332065212023591,0.2992670208809909,0.29872017362278436,0.31628821653584516,"{""type"":""MultiPoint"",""coordinates"":[]}"
19991228T06_00000000000000000000,293.0708963692274,3858.0,-2.2586542513113527E-4,-7.345364920210326E-25,0.0,-856971.3639591773,96739.49131455825,294.44858087578507,2.1165644360890523E-5,-0.13289111459127897,-0.563564683732671,0.33201983059165635,0.2992883670511284,0.29872038232840575,0.3162873977676383,"{""type"":""MultiPoint"",""coordinates"":[]}"
19991228T07_00000000000000000000,292.9340123131371,3858.0,-2.4092516602825903E-4,-7.345364920210326E-25,0.0,-955219.9511941709,96755.93033275356,294.4651021508378,3.091492420002205E-5,-0.6481853860175505,-0.6784826978352048,0.3320063843306438,0.2993103240865653,0.29872038232840575,0.3162873977676383,"{""type"":""MultiPoint"",""coordinates"":[]}"
19991228T08_00000000000000000000,292.8754089040805,3858.0,-2.647692231707648E-4,-7.345364920210326E-25,0.0,-1028130.2234467883,96785.7527897969,294.44382170852225,4.364637629836456E-5,-0.5764684818100656,-0.702799635261079,0.33201183355414604,0.2993298806059998,0.29872038232840575,0.3162873977676383,"{""type"":""MultiPoint"",""coordinates"":[]}"
19991228T09_00000000000000000000,292.8748153525177,3858.0,-2.9945572939800305E-4,-7.345364920210326E-25,93047.45104950285,-1114812.4622284176,96834.28534920955,294.76093547378935,4.736164580305347E-5,-0.5410785080037129,-0.7985292343684687,0.33192665757921713,0.2993500849155744,0.29872009656224735,0.3162873977676383,"{""type"":""MultiPoint"",""coordinates"":[]}"
19991228T10_00000000000000000000,292.5947889446101,3858.0,-4.544312418450985E-4,-7.345364920210326E-25,757969.2680835394,-1263157.6464832444,96877.81177111,296.1008691149059,6.637560705228561E-5,-1.2281223706302566,-1.4439843349526014,0.3317557706205264,0.2993471148740398,0.29871248924234894,0.3162863731033088,"{""type"":""MultiPoint"",""coordinates"":[]}"
19991228T11_00000000000000000000,292.0982860111852,3858.0,-9.56826556952737E-4,-7.345364920210326E-25,2152716.487400705,-1481788.2031669202,96881.80220615063,297.95722884124416,8.216779873622123E-5,-1.550824885529141,-1.3700268780189908,0.33106540132280055,0.2993024928094812,0.2986960460488852,0.31628356400591684,"{""type"":""MultiPoint"",""coordinates"":[]}"
19991228T12_00000000000000000000,291.71808927412496,3858.0,-0.0017096018318232466,-7.345364920210326E-25,4108589.1172602437,-1754338.6750486605,96882.77500501409,299.5821124934793,1.3627262041970262E-4,-1.77406651225319,-1.196569491714573,0.3303532483758464,0.2992240215026382,0.29866779974982044,0.3162776355621996,"{""type"":""MultiPoint"",""coordinates"":[]}"
19991228T13_00000000000000000000,291.3058049323727,3858.0,-0.0026156388880079705,-7.345364920210326E-25,6357374.525119675,-2059757.536535324,96847.1495545695,300.8595574584813,2.042901191029898E-4,-1.9494334246021208,-0.9700672858655279,0.32948236677671594,0.2991308990611765,0.29863440163276384,0.31627205991125396,"{""type"":""MultiPoint"",""coordinates"":[]}"
