system:index,dewpoint_temperature_2m,gauge_id,potential_evaporation,snow_depth_water_equivalent,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,.geo
19961228T00_00000000000000000000,293.2794811652743,3858.0,-0.007981753415465384,-7.345364920210326E-25,1.4384729263138508E7,-4264646.567362826,96820.85385130072,296.94131033933155,9.841067975809006E-4,-3.0471680628280735,-0.5578556031692635,0.2983690380542141,0.29691506224808917,0.3333774401893357,0.3753384695454958,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T01_00000000000000000000,293.32017784794937,3858.0,-1.1139925170682569E-4,-7.345364920210326E-25,0.0,-174589.9986305828,96835.62321815487,296.50520697487366,8.804411456608948E-6,-2.7843337547923945,-0.7255616216896846,0.29835819981075473,0.2969258711924902,0.33337721302129397,0.37533603330872356,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T02_00000000000000000000,293.24757608167573,3858.0,-1.9641326685217105E-4,-7.345364920210326E-25,0.0,-367693.2309892681,96832.80259145336,296.05294488110866,2.1430680030408422E-5,-2.4869715740631895,-0.8518218432240872,0.2983904725228838,0.2969347243244051,0.3333754671185,0.37533403896596873,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T03_00000000000000000000,293.0467671529756,3858.0,-2.7092388410761444E-4,-7.345364920210326E-25,0.0,-545851.2933676152,96759.32093247768,295.713874988274,3.321438542160006E-5,-2.2796525061679245,-1.0143586385067598,0.2984184864362666,0.29694389212017985,0.3333763280291881,0.37533183350945093,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T04_00000000000000000000,292.869394813998,3858.0,-3.4755848966834047E-4,-7.345364920210326E-25,0.0,-688141.0415855646,96697.0759761412,295.54593142021247,4.231308126501008E-5,-2.0992860771491033,-1.1382007124272344,0.2984264971199136,0.2969560391886994,0.3333772607827728,0.3753300402465352,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T05_00000000000000000000,292.779650707286,3858.0,-4.1178458184238986E-4,-7.345364920210326E-25,0.0,-850497.8248329737,96660.25145140951,295.2950902386273,5.091164400049007E-5,-1.9743203570474108,-1.1741928806171487,0.2984350781318071,0.2969677756690446,0.33337904280769354,0.3753279026193441,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T06_00000000000000000000,292.76087044994756,3858.0,-4.623707471471936E-4,-7.345364920210326E-25,0.0,-1028330.7219738017,96652.53147296177,295.0411864288776,6.012484533957725E-5,-1.862487809825743,-1.186254204840316,0.29845753806751985,0.29697905580652156,0.3333810507965851,0.375326046343385,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T07_00000000000000000000,293.1402475550808,3858.0,-5.060112198573798E-4,-7.345364920210326E-25,0.0,-1170952.284246935,96647.11823408483,295.1809149226433,6.538284694109327E-5,-2.1478242257560867,-1.2771065608776184,0.29845170835761586,0.29699065622685616,0.3333816279478995,0.375324346195285,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T08_00000000000000000000,293.13894785768105,3858.0,-5.58587475698677E-4,-7.345364920210326E-25,0.0,-1296640.577331791,96685.5991325244,295.1900991146528,7.316817404222459E-5,-2.148799373071431,-1.2169694191615956,0.2984588408722255,0.29699986736918316,0.33338338067376183,0.37532315296103064,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T09_00000000000000000000,293.27338825430326,3858.0,-6.335943690764984E-4,-7.345364920210326E-25,112800.11178915249,-1439642.8717449624,96736.13227656961,295.47480751289237,7.702693209115581E-5,-1.9775739645016013,-1.0820694961078265,0.29842115626279186,0.297008271382655,0.3333809897903266,0.37532149656083963,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T10_00000000000000000000,293.1717004217612,3858.0,-8.291550782374464E-4,-7.345364920210326E-25,661865.1545583669,-1582046.3566731545,96801.37840813062,296.7943409244406,8.084679721964421E-5,-3.2076838403694046,-1.7490766900436971,0.298277689209177,0.2970025592703416,0.33336716946462336,0.37531497451017226,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T11_00000000000000000000,292.85047153872443,3858.0,-0.0013150228462296876,-7.345364920210326E-25,1721950.8170866433,-1760050.1208638013,96823.78272586338,298.40294406362483,9.653295325489144E-5,-3.69496382595369,-1.5940236837084163,0.2980272276133487,0.29697370892904557,0.33333822681122566,0.3753085018264118,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T12_00000000000000000000,292.45587871574986,3858.0,-0.00213784136382134,-7.345364920210326E-25,3550357.0098374453,-1980777.4704350568,96803.57321367503,300.33883686096755,1.262174495451516E-4,-3.978988946070518,-1.3575373225212344,0.29758002645269876,0.29691102539974373,0.3332845818407563,0.3752972802870515,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T13_00000000000000000000,292.14930681831373,3858.0,-0.003144125796349272,-7.345364920210326E-25,5689797.8323425725,-2222853.274159608,96792.68337921341,301.69743451761593,1.6632282567416803E-4,-3.868567074660255,-1.0101126635166802,0.29702817226636463,0.2968394718815347,0.33322177710165135,0.37528273390660033,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T14_00000000000000000000,291.89365369423575,3858.0,-0.004355186452765072,-7.345364920210326E-25,8450919.70755957,-2545829.222894418,96755.00219098516,302.9282932709941,2.3144091634465442E-4,-3.716540379002216,-0.7191704268382506,0.2964417447897829,0.2967419208673306,0.3331415434363791,0.3752671443993993,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T15_00000000000000000000,291.8771618763761,3858.0,-0.005531805501938699,-7.345364920210326E-25,1.1124430488400232E7,-2908270.8131674463,96724.99530403361,303.50173043048284,2.6583460189846835E-4,-3.671435346357059,-0.545332776132403,0.2957186071040772,0.29665488380015903,0.33306895321313157,0.3752540087886771,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T16_00000000000000000000,292.2287598450937,3858.0,-0.006582475925679961,-7.345364920210326E-25,1.3494870293124307E7,-3278263.928060393,96647.36666081689,303.5483913450728,2.911148334114991E-4,-3.690786617459062,-0.2642498670569272,0.295039256259088,0.296568346422408,0.33299906893853637,0.37524011983093325,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T17_00000000000000000000,292.7096450222091,3858.0,-0.007534933029006939,-7.345364920210326E-25,1.5586965574569931E7,-3639505.5934557295,96564.3325219715,303.39188138135086,3.143896805417756E-4,-3.874325078129108,-0.051838894533555384,0.29443475768519606,0.29648965958687534,0.3329366326451244,0.3752260117322869,"{""type"":""MultiPoint"",""coordinates"":[]}"
19961228T18_00000000000000000000,292.82925289012957,3858.0,-0.008375900945360113,-7.345364920210326E-25,1.745556804955547E7,-3992113.800226208,96489.69117157497,302.33392489871414,7.051843991942421E-4,-4.031392874249379,-0.0495115605551526,0.2976529421764443,0.29642269197333837,0.33288248838659146,0.3752143571287623,"{""type"":""MultiPoint"",""coordinates"":[]}"
