system:index,dewpoint_temperature_2m,gauge_id,potential_evaporation,snow_depth_water_equivalent,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,.geo
19851231T00_00000000000000000000,293.9568975467573,3858.0,-0.008138752235196188,-7.345364920210326E-25,1.772665263306855E7,-4259041.614761426,97008.39605910351,295.4340856298165,0.0031610635363921074,-2.936929436558782,0.5774476215234717,0.38324365209972483,0.3099604009660102,0.3264792233264966,0.37136610441415074,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T01_00000000000000000000,293.9821730505392,3858.0,-7.284477804720584E-5,-7.345364920210326E-25,0.0,-34795.73126709717,97022.99257999496,295.27348403734004,1.5550289755570805E-4,-2.6128283210741143,0.43603285286238275,0.3842542067250884,0.3101193150451039,0.3264809680252197,0.37136536792412156,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T02_00000000000000000000,294.0034928001505,3858.0,-1.2404200724767066E-4,-7.345364920210326E-25,0.0,-100920.75244620963,97000.29819263244,295.0280054543832,2.3109865656038397E-4,-1.8500378307836396,0.2809017260062449,0.38448549830823836,0.3102873953145445,0.3264833219838144,0.37136384557715657,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T03_00000000000000000000,293.96215675904256,3858.0,-1.572546158122128E-4,-7.345364920210326E-25,0.0,-179787.9003038034,96957.3781023544,294.81559630843543,3.0035796505726084E-4,-1.4840212239039627,0.14939393685639038,0.3846860130366649,0.31045934667190433,0.3264843093219462,0.37136273943736337,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T04_00000000000000000000,293.9296250633051,3858.0,-1.8803322294521098E-4,-7.345364920210326E-25,0.0,-237312.2962741333,96887.7539033731,294.75775836577526,3.2972592504373536E-4,-1.2400011255975787,0.11212283827854777,0.3844347712028985,0.31063254464399465,0.3264864140378662,0.3713609517934452,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T05_00000000000000000000,293.8306953237123,3858.0,-2.142604575869447E-4,-7.345364920210326E-25,0.0,-308152.75933768204,96836.78834265182,294.71516522408484,3.5132881508921323E-4,-1.0445147071897372,0.1989780498068966,0.3841329013989622,0.31080058116552606,0.3264876209182573,0.3713594703848906,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T06_00000000000000000000,293.78131630417033,3858.0,-2.4027800291041347E-4,-7.345364920210326E-25,0.0,-367765.2156083959,96818.11888200985,294.697917088359,3.739504563080354E-4,-0.9984951128656885,0.39499056903045,0.3838746883960854,0.31096960944011603,0.32649000457726723,0.37135811580513656,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T07_00000000000000000000,293.8037570983671,3858.0,-2.64599543242974E-4,-7.345364920210326E-25,0.0,-442942.2898100898,96915.33372658181,294.7020363537514,4.010342470715589E-4,-0.8263563940479774,0.11151935112420541,0.38370191867187603,0.3111330074792131,0.3264917300108561,0.37135686517683636,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T08_00000000000000000000,293.8284747922267,3858.0,-2.907263893559413E-4,-7.345364920210326E-25,0.0,-473628.6244673576,96969.4384417825,294.8011828766759,4.439975321057707E-4,-0.8830507703780424,0.44435411786674367,0.38369439603829736,0.31129562969529845,0.3264930115436425,0.3713547672839848,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T09_00000000000000000000,293.9009393233166,3858.0,-3.29615020590156E-4,-7.345364920210326E-25,42616.263980219876,-499242.02167394385,97028.21745414998,295.01050757910286,5.528679626801633E-4,-1.1333322275681397,0.7534452749707157,0.3843696389947585,0.311463340716332,0.3264939739976426,0.3713541082558498,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T10_00000000000000000000,293.9946385645041,3858.0,-4.115068843209314E-4,-7.345364920210326E-25,255270.7320742806,-543078.0831974327,97071.97155171561,295.25132727383414,7.128234435509979E-4,-1.4066927810164036,1.0207867914111826,0.38519044770040045,0.31163225460418714,0.3264951676332539,0.37135345685349697,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T11_00000000000000000000,293.9568502789475,3858.0,-6.244521608860439E-4,-7.345364920210326E-25,908101.4617286548,-587664.8733757692,97089.62782596398,296.15765702105483,9.773636100682145E-4,-1.9342371011320911,1.1916392870845869,0.3867161909479967,0.31180144944191723,0.32649095619462914,0.3713501211757681,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T12_00000000000000000000,293.81966543792146,3858.0,-0.0010465029744669777,-7.345364920210326E-25,2174637.5113367354,-711996.9899784313,97104.09364047128,297.54939060591465,0.0011817517636124439,-2.2867623529389554,1.308515886648618,0.38664795665188095,0.31195596625411176,0.32648070634047904,0.37134583588746206,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T13_00000000000000000000,293.26424272982615,3858.0,-0.0016697006430121204,-7.345364920210326E-25,3831631.8909989996,-832987.231811247,97097.68070593201,298.8052073576078,0.0014691640476863408,-2.795241448258266,1.5125154893285027,0.38658366769472274,0.3120666508722533,0.326451601137511,0.3713381531124544,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T14_00000000000000000000,293.0858660327736,3858.0,-0.0024558647942242635,-7.345364920210326E-25,5861863.604345308,-1049535.7319953705,97036.60729477643,299.60250467343246,0.0018316527132960629,-3.0683398537999773,1.526556644342369,0.38706985024915724,0.3121705870743999,0.3264230012429606,0.3713311293655821,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T15_00000000000000000000,292.880289956229,3858.0,-0.0033926691261648633,-7.345364920210326E-25,8165992.431585032,-1282764.6095270657,96985.81827954027,300.37088623961967,0.0020438074321691385,-3.1259790324507564,1.5634303248733217,0.3862627482851975,0.31226818625143943,0.32639316998524437,0.371322659128211,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T16_00000000000000000000,292.5544110814451,3858.0,-0.004321903080685698,-7.345364920210326E-25,1.0287977375085482E7,-1529270.8532800246,96916.02491685683,300.8688747203921,0.0021901287197646528,-3.138788077473683,1.6676000459333784,0.3854296757161595,0.3123295794181013,0.32635417253718113,0.3713136920109182,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T17_00000000000000000000,292.1293852069249,3858.0,-0.005303004679453667,-7.345364920210326E-25,1.248817847277605E7,-1827600.8675101264,96853.31466550383,301.32812270343555,0.0022852591026919873,-3.129632388230369,1.9101372167497075,0.3841118694913274,0.3123638532960537,0.32630862975974684,0.3713030227387408,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T18_00000000000000000000,291.8296556117075,3858.0,-0.006163658288981788,-7.345364920210326E-25,1.4261066057814721E7,-2135407.7085064966,96788.4192323373,301.2319080899231,0.0023212943658616012,-3.3062882375990563,2.061951173249247,0.38264729264370856,0.3124032292237342,0.32626888939994286,0.37129332194091746,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T19_00000000000000000000,291.55241259909474,3858.0,-0.006872426671439412,-7.345364920210326E-25,1.557595798779525E7,-2479476.4247987783,96809.00612538797,300.6561760965367,0.0023322452469151794,-3.530877886706986,1.8820493766250452,0.3812102348363357,0.31245122910850315,0.32623561771033,0.37128558297593517,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T20_00000000000000000000,291.8731662345474,3858.0,-0.007356485884286433,-7.345364920210326E-25,1.6262096321268866E7,-2792102.6334893988,96840.65398955757,299.5241364398743,0.0023331974418662684,-3.5649316291943527,1.7747130366639479,0.3801184539899274,0.3125307868886479,0.32622062943586133,0.3712801734867724,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T21_00000000000000000000,292.3778022630855,3858.0,-0.007616451971659721,-7.345364920210326E-25,1.6382236085696239E7,-3082474.4945552093,96888.70936628697,298.12191797666145,0.00233402776358798,-3.2798251121384925,1.5416676970168857,0.3794469609115819,0.3126439262059821,0.3262194899834401,0.37127915002651385,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T22_00000000000000000000,292.93185709206233,3858.0,-0.007771987630075619,-7.345364920210326E-25,1.6382236085696239E7,-3341521.4721447756,96931.0208490879,296.9659878244481,0.0023378173552699878,-2.9919324858121272,1.2093692764289452,0.3789548635595668,0.3127605669614713,0.3262202365073934,0.37127714404440715,"{""type"":""MultiPoint"",""coordinates"":[]}"
19851231T23_00000000000000000000,293.36422004480943,3858.0,-0.007877355464282167,-7.345364920210326E-25,1.6382236085696239E7,-3556746.1741806497,97003.3518750575,296.2223893010613,0.0023490119194443703,-2.6777181874709215,0.8795594142095245,0.3785797244363997,0.31287733093354825,0.32622143295250344,0.37127669934089086,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860101T00_00000000000000000000,293.51750822226296,3858.0,-0.007950974142605042,-7.345364920210326E-25,1.6382236490031028E7,-3732042.863748751,97020.97914618568,295.6705050498797,0.0023859921356473726,-2.130827577895872,0.5732854191636958,0.37844622548434587,0.3129887227426605,0.3262233004664576,0.3712744569595322,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860101T01_00000000000000000000,293.6542488125035,3858.0,-4.1763294318477155E-5,-7.345364920210326E-25,0.0,-170149.7575605634,97046.69638497713,295.2789626650559,4.1380355900770924E-5,-1.560435484796315,0.38618580434228156,0.37838002325853975,0.3131012820991815,0.32622389126390877,0.3712736807351636,"{""type"":""MultiPoint"",""coordinates"":[]}"
