system:index,dewpoint_temperature_2m,gauge_id,potential_evaporation,snow_depth_water_equivalent,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,.geo
20041226T00_00000000000000000000,292.43673198900024,3858.0,-0.009806521667061816,-7.345364920210326E-25,1.700611289557577E7,-5275970.348782155,96923.31831735125,296.4937133845251,3.860677075106242E-4,-3.071991678001415,-0.3821381496614268,0.25666929087763524,0.28577827904337144,0.33309587784371353,0.37061332491121585,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T01_00000000000000000000,292.7596652809427,3858.0,-1.0189483918865362E-4,-7.345364920210326E-25,0.0,-223461.81135416118,96944.87222705362,295.979040383979,1.288505971786055E-6,-2.8728332872725364,-0.6427322661420762,0.2566581732897287,0.2857825984470195,0.33309663038802123,0.37061007191302164,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T02_00000000000000000000,292.97338975714405,3858.0,-1.8086656394030338E-4,-7.345364920210326E-25,0.0,-428255.11868720065,96942.95074680903,295.6269495617527,2.9610397132582244E-6,-2.680313080651147,-0.8388270036407505,0.25665656144016075,0.2857845731232831,0.33309530912089536,0.3706098194594912,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T03_00000000000000000000,293.0677525353109,3858.0,-2.4946937781891227E-4,-7.345364920210326E-25,0.0,-603193.4743411012,96900.05523349957,295.408598911932,5.019541181734856E-6,-2.4592409504664605,-0.8973060113037016,0.2566572088289438,0.2857873119832064,0.333094752840143,0.37060799208123346,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T04_00000000000000000000,293.08517385255334,3858.0,-3.03997554522294E-4,-7.345364920210326E-25,0.0,-777555.9514703561,96826.34749575857,295.1666216065878,6.873073293764028E-6,-2.2340427864055035,-0.7657624350598005,0.25666207126856433,0.2857904790910104,0.333095950087967,0.3706064063198682,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T05_00000000000000000000,293.07820750454283,3858.0,-3.405773052028078E-4,-7.345364920210326E-25,0.0,-969565.3021332001,96801.73431252957,294.8787612605992,1.0754462544950291E-5,-1.9697392999646135,-0.6092810672188278,0.2566856802892657,0.2857925793920036,0.3330966203540971,0.3706058873653135,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T06_00000000000000000000,293.0866033014352,3858.0,-3.797038590031963E-4,-7.345364920210326E-25,0.0,-1098658.6753906044,96798.65731076393,294.8547924731479,2.2004946052723948E-5,-1.8408738920492838,-0.526297590596991,0.25676674636888175,0.2857954125708135,0.33309694384781025,0.3706036907386488,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T07_00000000000000000000,292.973496054128,3858.0,-4.0096535614761095E-4,-7.345364920210326E-25,0.0,-1294702.0510810667,96793.47367365456,294.674201088367,3.642574449667669E-5,-1.914649031829392,-0.8116468724261777,0.2568778074598556,0.2858000378084682,0.33309691896367855,0.37060139858902663,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T08_00000000000000000000,293.0134154656953,3858.0,-4.271909859494136E-4,-7.345364920210326E-25,0.0,-1442016.8685359568,96825.31315635021,294.60483789872916,5.9102336344070994E-5,-1.8698237803076516,-0.6219821985920938,0.25705364997298263,0.2858022773803281,0.3330966637006493,0.3705988363261676,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T09_00000000000000000000,293.0839808085421,3858.0,-4.8636737216342966E-4,-7.345364920210326E-25,134643.80814351095,-1568257.760008417,96904.54767067573,295.1171620603901,8.951050256170186E-5,-2.2410627163731442,-0.49856868801892557,0.25727720540064897,0.28580441581023297,0.33309525092413556,0.3705974299713653,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T10_00000000000000000000,292.6378355177254,3858.0,-7.093333294239364E-4,-7.345364920210326E-25,739235.0997422271,-1686489.4958966807,96940.20772458936,296.626538806614,1.689244495401302E-4,-3.555728551734284,-0.6011927471876307,0.25785121850497317,0.2857943321178661,0.33307967867528404,0.37059276901294097,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T11_00000000000000000000,292.0996343522466,3858.0,-0.0011850967389871007,-7.345364920210326E-25,1745122.7488031983,-1860661.270056289,97000.88587601592,297.93357601564105,2.666385683160356E-4,-3.6801257753831242,-0.0594151262745588,0.2583638717552632,0.2857802705766275,0.3330549045153159,0.37058669046171905,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T12_00000000000000000000,291.5697925741615,3858.0,-0.0018649606430127307,-7.345364920210326E-25,3192098.2692934917,-2039494.2621652891,97003.4833101261,299.2615393498586,3.6922937841222E-4,-3.729988168381999,0.44896000444660167,0.25861488762505896,0.28575547394066936,0.3330157120077681,0.37057892460581976,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T13_00000000000000000000,291.2860713438781,3858.0,-0.0027082966592283757,-7.345364920210326E-25,4982633.190120469,-2217032.110184649,96997.64109188408,300.2916933852673,4.756097064406588E-4,-3.6552602537264414,0.8962491614067658,0.25882490688775295,0.28572352632768105,0.3329683490765013,0.37056935745986586,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T14_00000000000000000000,291.22305504710926,3858.0,-0.0037338542125092623,-7.345364920210326E-25,7344294.69282971,-2484780.1686043446,96961.75754432935,301.19065909591626,6.30612401611246E-4,-3.595117610209155,1.284475197301143,0.25940155851275926,0.28568276009947674,0.3329087921179502,0.3705566593282345,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T15_00000000000000000000,291.14757176981743,3858.0,-0.004859890462495056,-7.345364920210326E-25,9952924.278762689,-2787504.4245094424,96897.4712858054,301.87097132809885,7.517615234482739E-4,-3.6276488869298964,1.4891642376289003,0.25972034149916445,0.28563667308199914,0.33284441807311554,0.37054473300604507,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T16_00000000000000000000,291.2338249812189,3858.0,-0.005806641956843507,-7.345364920210326E-25,1.2059387179441314E7,-3108861.4117523264,96828.15469358263,301.7121898597542,8.166026649392547E-4,-3.696489682383949,1.5362734672453664,0.25997985048367817,0.2855938948513337,0.3327913366078239,0.37053354397659904,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T17_00000000000000000000,291.3079811572602,3858.0,-0.006698219933106084,-7.345364920210326E-25,1.396446254795097E7,-3410780.6171813337,96764.55770457414,301.45008567140985,8.738028495657132E-4,-3.6545571196718294,1.6913544364213577,0.26019827135170254,0.2855553035765182,0.33273532162448133,0.37052219962200783,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T18_00000000000000000000,291.2782442995045,3858.0,-0.00752140239768486,-7.345364920210326E-25,1.5632450266452732E7,-3731606.2207375458,96717.75742884126,301.1871064670884,9.344784443107877E-4,-3.641823034483665,1.8845921601255284,0.26045342079687167,0.28551747086636475,0.33268380183913693,0.3705108685121963,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T19_00000000000000000000,290.1151065428069,3858.0,-0.008288215496791668,-7.345364920210326E-25,1.6842393127571147E7,-4043162.029512338,96729.06827871827,301.31359012003117,9.344784443676318E-4,-3.2796413644986,1.969903142707227,0.2602648869751817,0.28548681441873025,0.3326436139663181,0.37050115968723385,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T20_00000000000000000000,290.1519010075139,3858.0,-0.008784882468145691,-7.345364920210326E-25,1.741639723441527E7,-4371271.809563892,96751.1326536525,299.98334218009694,9.344784443676318E-4,-3.170457866355042,1.8367198418514838,0.26011497172058085,0.2854744510188071,0.3326209328829178,0.3704970144725081,"{""type"":""MultiPoint"",""coordinates"":[]}"
20041226T21_00000000000000000000,290.4122158574106,3858.0,-0.009103283254542674,-7.345364920210326E-25,1.7517207965805665E7,-4673677.402388341,96780.24694984117,298.5629491706192,9.344784443676318E-4,-2.844409982561971,1.551043562462908,0.2600309576740632,0.2854731670778788,0.33261598294747907,0.37049411145758654,"{""type"":""MultiPoint"",""coordinates"":[]}"
