system:index,dewpoint_temperature_2m,gauge_id,potential_evaporation,snow_depth_water_equivalent,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,.geo
19891230T00_00000000000000000000,292.39046418750246,3858.0,-0.00902906105802614,-7.345364920210326E-25,1.872899678494398E7,-4441554.478299754,96956.316092254,295.506926573535,0.0015808642898257335,-2.311042760359043,0.14026018177116556,0.39591320390433865,0.3633456898673766,0.3356092670638743,0.4031442135197729,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T01_00000000000000000000,292.70203082867147,3858.0,-4.301103698365554E-5,-7.345364920210326E-25,0.0,-232449.90447945707,97020.40362131092,295.02828136963643,1.95870625426526E-7,-2.1236584828097973,-0.044450559209213224,0.39563246072828057,0.3633866599849187,0.33562281286141393,0.40314020275963025,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T02_00000000000000000000,292.8640368060903,3858.0,-6.825372944558785E-5,-7.345364920210326E-25,0.0,-436035.4065048135,96980.94136617852,294.69243163115283,5.956314705217006E-7,-2.0020127554068754,-0.08595034221878144,0.3953754738709296,0.3634263923175832,0.33563506588817194,0.4031370994675835,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T03_00000000000000000000,292.9449739128568,3858.0,-9.176740185225098E-5,-7.345364920210326E-25,0.0,-591637.5646272817,96932.15267644603,294.5677906216786,7.048189864240653E-7,-1.8534000590784603,0.004891928119369435,0.39512191420069515,0.3634649619191227,0.33564943928377167,0.4031355879572566,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T04_00000000000000000000,292.9809298641997,3858.0,-1.1266124259322459E-4,-7.345364920210326E-25,0.0,-730195.3531222049,96884.62273010478,294.46490393989825,8.802929762518632E-6,-1.683840143040283,0.1989341100491769,0.3949377351020661,0.36350195539186403,0.3356611464650585,0.4031311621940131,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T05_00000000000000000000,292.99745616424184,3858.0,-1.3975222123275015E-4,-7.345364920210326E-25,0.0,-815195.9803514124,96836.87742319422,294.51801266776334,3.5735054431643135E-5,-1.6952063194097098,0.3209306948802929,0.3948957274767719,0.3635393967789775,0.3356752730261252,0.4031297285469372,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T06_00000000000000000000,293.0107870527869,3858.0,-1.7415291446347978E-4,-7.345364920210326E-25,0.0,-872999.5389815349,96793.57703176784,294.6214287795149,6.886271941046624E-5,-1.9366036647435607,0.39286620859357524,0.39489798992597863,0.3635753162204826,0.3356890054546531,0.4031265461875685,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T07_00000000000000000000,293.07926693842614,3858.0,-2.1214901090289116E-4,-7.345364920210326E-25,0.0,-939747.9565205952,96879.24492818369,294.6313621669096,1.0280256313003087E-4,-1.6689377204316662,0.6672113547414688,0.394908303194529,0.3636117168889879,0.33570380950627526,0.403122892635124,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T08_00000000000000000000,293.16958877681475,3858.0,-2.485777318690851E-4,-7.345364920210326E-25,0.0,-996506.2518280814,96901.1547196804,294.62405335384545,1.6368692243511223E-4,-1.757392425352485,0.5620213591436001,0.3951495729131646,0.36364950344309055,0.33571699568797486,0.4031211896775252,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T09_00000000000000000000,293.3600278022858,3858.0,-2.900807519040948E-4,-7.345364920210326E-25,88651.35698879474,-1101984.3696143928,96956.63977055275,294.8018842254948,1.91955891309416E-4,-1.7118532657497862,0.4325392762868006,0.3951212254721448,0.36368022410783946,0.33573001811603315,0.40311801373986805,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T10_00000000000000000000,293.2717226782892,3858.0,-4.309574529639148E-4,-7.345364920210326E-25,656472.9269293491,-1212666.6768109843,97005.98839303912,296.18828650472585,2.90954253011189E-4,-3.1629812403250495,0.5328563283008906,0.3954738348234869,0.3636779801210528,0.33573476054992135,0.4031123814975902,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T11_00000000000000000000,292.70219215089224,3858.0,-8.835795626151667E-4,-7.345364920210326E-25,1795899.8674312162,-1422257.0403756106,97072.98060930838,297.5622024604364,3.3827592995574525E-4,-3.9209295747732775,0.7506559435061625,0.3947131758806324,0.3636000245579087,0.3357251051054354,0.4031051767387271,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T12_00000000000000000000,292.13302433781115,3858.0,-0.0016600302379842715,-7.345364920210326E-25,3602729.9393445207,-1630867.3197169765,97102.85343702322,299.02373779046417,3.795131838731194E-4,-3.9913418184005747,0.8817422484428441,0.39332045035808993,0.36339112949607116,0.3356929070457012,0.40309191871413064,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T13_00000000000000000000,291.74915566936806,3858.0,-0.0025693479504243608,-7.345364920210326E-25,5595145.411173652,-1861000.6095270647,97084.65328245002,299.8999596856194,3.864787688692537E-4,-3.9635546845460135,0.556501385589797,0.39155273461581414,0.36314444988691613,0.33565078904724194,0.4030762413097547,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T14_00000000000000000000,291.28904018696085,3858.0,-0.003695551945280003,-7.345364920210326E-25,8158509.677468565,-2141776.034220632,97053.27151468543,300.9352660824571,3.8949888360463326E-4,-3.8726357385720744,0.47358675041682347,0.38944065901323677,0.3628076451701075,0.3355923269904889,0.40305708373914256,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T15_00000000000000000000,290.5573068960229,3858.0,-0.00494753488799192,-7.345364920210326E-25,1.099325519859014E7,-2468498.6743910774,97023.80071980701,301.7572716506204,3.896883252675556E-4,-3.828821826328564,0.5886302488243639,0.3870743683245024,0.36242944449601777,0.3355270189879989,0.4030384098036722,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T16_00000000000000000000,290.1576539924151,3858.0,-0.006204881045054681,-7.345364920210326E-25,1.3828773907727916E7,-2857622.3771371464,96963.72785567849,302.24752928907236,3.898912837237057E-4,-3.8779638108690886,0.6222201904284029,0.38471440864052037,0.3620496094963703,0.3354617699849823,0.40301721695189496,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T17_00000000000000000000,289.9677413136913,3858.0,-0.007357128667655198,-7.345364920210326E-25,1.6347818556052396E7,-3288618.076858331,96896.81074158131,302.30671376508224,3.898912837237057E-4,-3.876419547405739,0.5997994464202193,0.38259492960738267,0.3617161613278526,0.3354057947359792,0.4030021227191879,"{""type"":""MultiPoint"",""coordinates"":[]}"
19891230T18_00000000000000000000,289.9534354688767,3858.0,-0.0083434043732486,-7.345364920210326E-25,1.8353478207638476E7,-3708240.3598821587,96856.6684465253,301.96827791591153,3.9032268915492943E-4,-3.8324553984207,0.705921497191451,0.3808289754208224,0.3614424527353048,0.33536120397726377,0.40298649508307527,"{""type"":""MultiPoint"",""coordinates"":[]}"
