system:index,dewpoint_temperature_2m,gauge_id,potential_evaporation,snow_depth_water_equivalent,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,.geo
19971228T00_00000000000000000000,294.3277888306311,3858.0,-0.009655110889389142,-7.345364920210326E-25,1.9467085592877056E7,-5341181.737334945,96803.45196950292,296.6692419185072,9.504739477116553E-4,-2.8645024772971936,-0.24776605195390577,0.33360553335883864,0.2808832877676517,0.3108862026466851,0.35894453422068373,"{""type"":""MultiPoint"",""coordinates"":[]}"
19971228T01_00000000000000000000,294.4254289613328,3858.0,-5.943809172799106E-5,-7.345364920210326E-25,0.0,-191225.77763658,96808.63547550663,296.31082299976157,3.4393730432107115E-6,-2.685432927349739,-0.38539380804970247,0.33345621050711705,0.2809274823870435,0.3108878630604458,0.35894296009867044,"{""type"":""MultiPoint"",""coordinates"":[]}"
19971228T02_00000000000000000000,294.4331924387906,3858.0,-1.0600709389438386E-4,-7.345364920210326E-25,0.0,-368384.6837813667,96789.80531754694,296.0422311602526,8.771302324209557E-6,-2.3479673393747587,-0.46297540363153417,0.3333299114976428,0.28097023493086326,0.31088950581450003,0.35894239257992305,"{""type"":""MultiPoint"",""coordinates"":[]}"
19971228T03_00000000000000000000,294.414758076503,3858.0,-1.4449680805421082E-4,-7.345364920210326E-25,0.0,-521354.91578988906,96751.2962583102,295.83572436500316,1.6966252716344294E-5,-1.9123049715001867,-0.46896338223269624,0.3332338699869807,0.2810138102564596,0.31089184853509977,0.3589406322282784,"{""type"":""MultiPoint"",""coordinates"":[]}"
19971228T04_00000000000000000000,294.3902591446646,3858.0,-1.7802277053220568E-4,-7.345364920210326E-25,0.0,-645792.4088523855,96710.83081574846,295.68823806977014,2.45640880086131E-5,-1.6063360109579565,-0.5061474770559957,0.33313747809168925,0.2810557034950189,0.31089200265617395,0.35894042352265704,"{""type"":""MultiPoint"",""coordinates"":[]}"
19971228T05_00000000000000000000,294.356244210185,3858.0,-2.065640399702357E-4,-7.345364920210326E-25,0.0,-761474.2359934764,96710.3813906817,295.57692834698696,3.687708510097797E-5,-1.4514882919871006,-0.5734219898009352,0.3330833783837795,0.28109732019863026,0.3108935791863291,0.35893883174093727,"{""type"":""MultiPoint"",""coordinates"":[]}"
19971228T06_00000000000000000000,294.3274484638713,3858.0,-2.3842398693591144E-4,-7.345364920210326E-25,0.0,-846651.5528959963,96725.75317037324,295.51704189042255,5.665380291939033E-5,-1.375980283881771,-0.4976183646318129,0.33308376810139195,0.2811395935222348,0.3108951870223275,0.35893647055791716,"{""type"":""MultiPoint"",""coordinates"":[]}"
19971228T07_00000000000000000000,294.22124239142795,3858.0,-2.660624628226243E-4,-7.345364920210326E-25,0.0,-959659.4855331682,96716.52378005971,295.45797450228,6.273480021880761E-5,-1.3634648178319726,-0.5285959989796671,0.33298326550807333,0.28118325875179084,0.3108961615170363,0.3589352199296168,"{""type"":""MultiPoint"",""coordinates"":[]}"
19971228T08_00000000000000000000,294.18834606369126,3858.0,-2.986296718000731E-4,-7.345364920210326E-25,0.0,-1031274.4539691724,96761.50586954699,295.44116855436505,6.926406788455012E-5,-1.2595410882545555,-0.4272118090354095,0.33288002766704483,0.28122121869210165,0.3108973964924149,0.35893443005911146,"{""type"":""MultiPoint"",""coordinates"":[]}"
19971228T09_00000000000000000000,294.1786391315282,3858.0,-3.4925028604540866E-4,-7.345364920210326E-25,101444.7526960913,-1100349.9315587352,96785.8286054467,295.7297140921466,8.101250329761179E-5,-1.4628933999820497,-0.40471281807892595,0.33279361952623593,0.28126517651088473,0.3108980619422614,0.3589330385545169,"{""type"":""MultiPoint"",""coordinates"":[]}"
19971228T10_00000000000000000000,293.9550931758861,3858.0,-5.03129934162737E-4,-7.345364920210326E-25,552074.9867431215,-1197109.2247619545,96818.09988442971,296.5359291944794,1.356237013154753E-4,-2.3278221769732728,-0.6665629482675659,0.33290885232149475,0.2812986087432834,0.3108930056472272,0.3589299248271893,"{""type"":""MultiPoint"",""coordinates"":[]}"
19971228T11_00000000000000000000,293.15731384880985,3858.0,-9.676183388362247E-4,-7.345364920210326E-25,1772001.8280288281,-1371072.3757693716,96848.12025985222,298.337269219264,1.625194702134879E-4,-2.9389715432004446,-0.2754451645951423,0.33226618550302744,0.28132469815002314,0.3108711385157503,0.35892454263030016,"{""type"":""MultiPoint"",""coordinates"":[]}"
19971228T12_00000000000000000000,292.53674627056546,3858.0,-0.0016979728805547854,-7.345364920210326E-25,3496986.680993213,-1581197.2323373128,96874.06155143613,299.91021218792264,2.1579816658922777E-4,-3.3417627267467775,0.20094162513885017,0.3315342035152601,0.28133247684934504,0.3108366402792549,0.35891423217124824,"{""type"":""MultiPoint"",""coordinates"":[]}"
19971228T13_00000000000000000000,292.1012589657688,3858.0,-0.00262691446877042,-7.345364920210326E-25,5590217.642590349,-1836449.5883002784,96889.06625418385,301.2145980673615,2.8597342485868444E-4,-3.4300092606537227,0.6833274976164534,0.3306111828369898,0.2813345952114016,0.3107964142775245,0.3589030270875235,"{""type"":""MultiPoint"",""coordinates"":[]}"
19971228T14_00000000000000000000,291.8135540051289,3858.0,-0.0036644103688795566,-7.345364920210326E-25,7879938.375664156,-2125638.2637960957,96875.30673628279,302.08435276610857,3.257490686039064E-4,-3.360541431636307,0.9870471479741091,0.3293973445215043,0.28133391731948926,0.3107550708980058,0.35889297710914164,"{""type"":""MultiPoint"",""coordinates"":[]}"
19971228T15_00000000000000000000,291.3890702169705,3858.0,-0.004848238582436178,-7.345364920210326E-25,1.0494832537640065E7,-2429915.2445683614,96815.19709126267,303.0050939864666,3.385592701526035E-4,-3.308114862108388,1.1600096113233151,0.32784579201432956,0.28132232893986386,0.31070382965439475,0.3588790676821926,"{""type"":""MultiPoint"",""coordinates"":[]}"
