system:index,dewpoint_temperature_2m,gauge_id,potential_evaporation,snow_depth_water_equivalent,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,.geo
20051226T00_00000000000000000000,291.62455432921337,3858.0,-0.010473879658085933,-7.345364920210326E-25,2.1425115216265976E7,-6845267.47582724,96904.67339936018,295.5665238202981,5.7475343798502025E-6,-2.4973505591974927,0.3855551607737104,0.3293210630182578,0.35507449263920315,0.3347988318303275,0.36810298841212447,"{""type"":""MultiPoint"",""coordinates"":[]}"
20051226T01_00000000000000000000,291.7642257460051,3858.0,-8.04690144898495E-5,-7.345364920210326E-25,0.0,-249716.70793604339,96926.70751354621,295.0049437673848,0.0,-2.220937735805243,0.04370716814804414,0.329288392962734,0.35505686905490785,0.33480282332533573,0.3681015832613931,"{""type"":""MultiPoint"",""coordinates"":[]}"
20051226T02_00000000000000000000,291.8001025192514,3858.0,-1.3478680415468692E-4,-7.345364920210326E-25,0.0,-484940.8917420694,96887.38798254277,294.56756917618446,0.0,-1.9764451087069879,-0.2857179739554392,0.32927548452005356,0.3550380181210164,0.3348053988329745,0.3681014472013822,"{""type"":""MultiPoint"",""coordinates"":[]}"
20051226T03_00000000000000000000,291.75564057444825,3858.0,-1.735997774944299E-4,-7.345364920210326E-25,0.0,-705049.8847979901,96844.53739264951,294.24665588414217,0.0,-1.7691041451839,-0.5372473101505785,0.32927236437101426,0.3550194754292732,0.3348076572686117,0.36809890179551563,"{""type"":""MultiPoint"",""coordinates"":[]}"
20051226T04_00000000000000000000,291.69043646481356,3858.0,-2.031124789428282E-4,-7.345364920210326E-25,0.0,-912599.5140722818,96812.1641973045,293.97773179652233,5.214273681883446E-7,-1.623420042256403,-0.7338509506200698,0.32927975656357966,0.35500069633827824,0.33480988881333223,0.3680974689511537,"{""type"":""MultiPoint"",""coordinates"":[]}"
20051226T05_00000000000000000000,291.59527798763565,3858.0,-2.237082276726716E-4,-7.345364920210326E-25,0.0,-1132117.8539770632,96815.6065796547,293.6615742216782,1.8434380235761795E-6,-1.4856004575995976,-0.8989300260012524,0.32930077763457644,0.3549834805326588,0.334814121523876,0.36809630501595764,"{""type"":""MultiPoint"",""coordinates"":[]}"
20051226T06_00000000000000000000,291.52050842095707,3858.0,-2.4164826635405937E-4,-7.345364920210326E-25,0.0,-1325902.621744962,96807.28813160866,293.4805003496364,4.081201425412193E-6,-1.3526973440405186,-0.9988143883170881,0.3293330543602751,0.35496701887677484,0.3348172573258369,0.3680938422896257,"{""type"":""MultiPoint"",""coordinates"":[]}"
20051226T07_00000000000000000000,291.6924325871852,3858.0,-2.543096865615373E-4,-7.345364920210326E-25,0.0,-1507699.9170129937,96785.33529039692,293.30714636768596,1.0392951234109806E-5,-1.4354721720336927,-1.0977484826330721,0.3294010153322982,0.3549506852537624,0.33481870301362177,0.36809261012374583,"{""type"":""MultiPoint"",""coordinates"":[]}"
20051226T08_00000000000000000000,291.59946001401937,3858.0,-2.6650080410589697E-4,-7.345364920210326E-25,0.0,-1691244.2176337522,96817.1572752134,293.15686762013706,1.5246813417302542E-5,-1.2916775051776972,-1.1714180968374557,0.32946181730015206,0.35493399803526454,0.3348237143566759,0.3680906238081303,"{""type"":""MultiPoint"",""coordinates"":[]}"
20051226T09_00000000000000000000,291.7329294631254,3858.0,-3.0135828359846724E-4,-7.345364920210326E-25,148138.26171813346,-1854875.057577989,96873.19232933248,293.7433192086397,2.0808751986713958E-5,-1.1831882397940001,-1.094140060371023,0.32948674959476404,0.35490844283464396,0.33482409604714886,0.3680899884600561,"{""type"":""MultiPoint"",""coordinates"":[]}"
20051226T10_00000000000000000000,291.6138324094373,3858.0,-4.4660525040477497E-4,-7.345364920210326E-25,885702.9408701137,-2052701.7734757217,96907.13352186789,295.6192900084566,2.719408338290285E-5,-2.0525783290177717,-1.590259773350318,0.32933944075228855,0.3548164598456034,0.33481222671764843,0.36808424785139804,"{""type"":""MultiPoint"",""coordinates"":[]}"
20051226T11_00000000000000000000,291.220365062029,3858.0,-9.871867269134903E-4,-7.345364920210326E-25,2347125.4695144393,-2308803.9481561356,96937.19362292202,297.54514479588215,4.697529059845115E-5,-2.955323077971493,-1.5977960458414633,0.3288657524401476,0.35460680220553414,0.3347728291166919,0.3680767962580018,"{""type"":""MultiPoint"",""coordinates"":[]}"
20051226T12_00000000000000000000,290.9673868384313,3858.0,-0.0017882691792999908,-7.345364920210326E-25,4254089.172128989,-2599779.644694617,96944.74182480172,299.00272043844126,8.686740801708017E-5,-2.87231472283688,-0.8934806323238331,0.3282911601777242,0.3543331714762372,0.3347235834199064,0.3680662473929136,"{""type"":""MultiPoint"",""coordinates"":[]}"
