system:index,dewpoint_temperature_2m,gauge_id,potential_evaporation,snow_depth_water_equivalent,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,.geo
20131224T00_00000000000000000000,293.15524578239956,3858.0,-0.009011414967364835,-7.345364920210326E-25,1.715316216050292E7,-4196147.363775051,96877.82657515844,295.8581166399592,6.491587988511174E-4,-3.1018160789353684,-0.5592760183087617,0.3880333369406224,0.36163825031533164,0.33443860111159296,0.3457105958585304,"{""type"":""MultiPoint"",""coordinates"":[]}"
20131224T01_00000000000000000000,293.28485703838317,3858.0,-6.0644658216061595E-5,-7.345364920210326E-25,0.0,-221251.7000697037,96897.98821097075,295.3988869266849,1.9607962305074587E-6,-3.0060791355975693,-0.9411998088346413,0.3878602208453531,0.3616463340459462,0.334447005125065,0.34571058381782144,"{""type"":""MultiPoint"",""coordinates"":[]}"
20131224T02_00000000000000000000,293.3180404993,3858.0,-1.1381807682816338E-4,-7.345364920210326E-25,0.0,-412564.86386711535,96898.75037256198,295.1260834069346,4.563814949102571E-6,-2.7906955476373847,-1.2413815398966026,0.3877035423245495,0.3616517997250839,0.3344563683816813,0.34571058381782144,"{""type"":""MultiPoint"",""coordinates"":[]}"
20131224T03_00000000000000000000,293.23310856545976,3858.0,-1.5453717542628106E-4,-7.345364920210326E-25,0.0,-610497.4040257245,96829.3714420636,294.82285004890247,7.175264809608107E-6,-2.5756596584260874,-1.38412704359407,0.38756536595843577,0.3616576145847803,0.3344655847416487,0.3457096655130875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20131224T04_00000000000000000000,293.10404192278156,3858.0,-1.9217885681250407E-4,-7.345364920210326E-25,0.0,-794885.7860092589,96793.6101901977,294.6153128065724,8.59948430829437E-6,-2.3383340489902618,-1.3113419013369798,0.38741817872712014,0.36166516732013143,0.33447305560017915,0.3457096655130875,"{""type"":""MultiPoint"",""coordinates"":[]}"
20131224T05_00000000000000000000,293.0072210659966,3858.0,-2.272125107980274E-4,-7.345364920210326E-25,0.0,-959525.5417433841,96763.27941102732,294.46334284753755,1.1349987503015934E-5,-2.0847898855835956,-1.0968705688585731,0.3872830466535794,0.36166929326972264,0.3344830445723026,0.34570926736697916,"{""type"":""MultiPoint"",""coordinates"":[]}"
20131224T06_00000000000000000000,292.94597323631035,3858.0,-2.4637984253693065E-4,-7.345364920210326E-25,0.0,-1149472.3222815502,96778.30449495136,294.21999800904456,1.92747797799942E-5,-1.8469349625698988,-0.8701495617554412,0.3872082706403051,0.3616768066720913,0.33449402449477045,0.34570838398030107,"{""type"":""MultiPoint"",""coordinates"":[]}"
20131224T07_00000000000000000000,292.7729772013575,3858.0,-2.678296410632638E-4,-7.345364920210326E-25,0.0,-1304273.7316534272,96811.42796956372,294.1434333861876,3.2619856310904164E-5,-1.8790772505427125,-0.884509207668181,0.38716892039947043,0.3616819119326751,0.3345020921711065,0.34570838398030107,"{""type"":""MultiPoint"",""coordinates"":[]}"
20131224T08_00000000000000000000,292.7825671772984,3858.0,-2.8262817726073034E-4,-7.345364920210326E-25,0.0,-1470055.3357094002,96846.87626564226,293.9535259074443,5.081759271789019E-5,-1.7839677718256506,-0.9112718634229383,0.387176335068026,0.36168908056941146,0.33451088911304644,0.34570838398030107,"{""type"":""MultiPoint"",""coordinates"":[]}"
20131224T09_00000000000000000000,292.9708548459596,3858.0,-3.3192213016605123E-4,-7.345364920210326E-25,132311.5777263401,-1595183.0145983477,96907.52993668291,294.5036226945155,6.456669297870302E-5,-2.075045396041329,-1.0971754452275277,0.38708534142390166,0.3616803301848795,0.33451724299514574,0.345707769904146,"{""type"":""MultiPoint"",""coordinates"":[]}"
