system:index,dewpoint_temperature_2m,gauge_id,potential_evaporation,snow_depth_water_equivalent,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,.geo
20191223T00_00000000000000000000,292.2848215327406,3858.0,-0.009987466222077903,-7.345364920210326E-25,1.7503502280866954E7,-5335079.540638645,97024.56325889213,296.0561487331426,5.148004678505174E-4,-2.890587990071622,0.6753639885637859,0.2906718776104256,0.27957423634227835,0.3140195073644444,0.33439432220723886,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T01_00000000000000000000,292.5446115771012,3858.0,-8.715285696538049E-5,-7.345364920210326E-25,0.0,-240845.27105252774,97003.60281190813,295.5818986175776,0.0,-2.638942998853699,0.37988474794362015,0.29060928518915485,0.2795833680159264,0.31401933598502063,0.3343941444061037,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T02_00000000000000000000,292.621312341846,3858.0,-1.4836602024681107E-4,-7.345364920210326E-25,0.0,-471492.8887566413,96957.93639608209,295.18830213517145,9.796794256410702E-10,-2.4858339566460503,0.17609310380926732,0.290555936018768,0.27958732900780536,0.31401933598502063,0.33439335654238306,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T03_00000000000000000000,292.63580860726125,3858.0,-1.952346773745918E-4,-7.345364920210326E-25,0.0,-687492.7050476089,96900.7353673342,294.88761060530993,1.5212972244488157E-6,-2.2893308384363675,-0.013533603060759116,0.29052288146327265,0.27959569489236585,0.3140192448769898,0.33439335654238306,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T04_00000000000000000000,292.63376315571054,3858.0,-2.3975848634825048E-4,-7.345364920210326E-25,0.0,-859848.3892629804,96866.78544949098,294.77461040311584,7.5837354731776755E-6,-2.1781629182794586,-0.11411924024541069,0.29052312027066646,0.2796036373453291,0.314019623356607,0.33439335654238306,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T05_00000000000000000000,292.6126571214583,3858.0,-2.880298186012631E-4,-7.345364920210326E-25,0.0,-995356.189778526,96863.25881921881,294.7872623128738,1.4796865607895851E-5,-2.157168008532502,-0.1543850727413421,0.29053313011335186,0.2796101778584168,0.3140184991557504,0.3343925686786625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T06_00000000000000000000,292.59358809260056,3858.0,-3.5035815218304687E-4,-7.345364920210326E-25,0.0,-1079202.3800173607,96904.20334755076,294.9446063188432,2.2878345252776587E-5,-2.0927478903265175,-0.06974482331874712,0.2905423260041141,0.27961631460639835,0.3140177638697922,0.3343925686786625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T07_00000000000000000000,292.6517831514494,3858.0,-4.029864302952818E-4,-7.345364920210326E-25,0.0,-1191572.6395128618,96854.55486956835,294.77253932010683,2.3843979928324044E-5,-1.9687146508867415,-0.03593757426107226,0.2904989818601293,0.2796239195181548,0.31401648635057533,0.33439217896105033,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T08_00000000000000000000,292.6513796408038,3858.0,-4.5263463069509765E-4,-7.345364920210326E-25,0.0,-1303141.0986900942,96911.54589725587,294.7304928145608,2.4840170450442348E-5,-1.8474701648571477,-0.08306837475740697,0.2904605318629651,0.2796295842703465,0.31401741990687393,0.33439141638281844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T09_00000000000000000000,292.72503160653963,3858.0,-5.256229237186843E-4,-7.345364920210326E-25,121389.95849334524,-1404254.2871797564,96993.81477523802,295.1209021839263,2.5955389573087546E-5,-1.8817943079529658,-0.050575627101151835,0.29039932974221794,0.2796363130198503,0.31401415245982883,0.33439096084266423,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T10_00000000000000000000,292.11480709278396,3858.0,-7.363503423648136E-4,-7.345364920210326E-25,755758.7391235728,-1554530.4517859956,97058.41015789396,296.58900180262583,3.2040534964415016E-5,-3.070381742906166,0.024389079433731885,0.2902537114152753,0.27963314551068935,0.31399934278920916,0.3343867947573765,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T11_00000000000000000000,291.2210065757491,3858.0,-0.0013120725007785645,-7.345364920210326E-25,2067531.4451049508,-1771109.6915934558,97086.41486208014,298.3513806347243,3.313134382302759E-5,-3.1928116439537573,0.3231035790229447,0.2897933613991233,0.27961949937390873,0.31396763960261226,0.33438230718516054,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T12_00000000000000000000,290.4878844010772,3858.0,-0.0021423203778055872,-7.345364920210326E-25,3883487.0557630593,-2016813.3997843126,97094.39931475715,299.9161418036024,3.31317730084531E-5,-3.06744199659793,0.466256389500523,0.28916403889699976,0.2795956688041632,0.31392090038006765,0.3343756711491153,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T13_00000000000000000000,289.7897842233038,3858.0,-0.00328400337764745,-7.345364920210326E-25,6518417.6393813435,-2356642.7073228466,97056.34887483396,301.7916210214094,3.31317730084531E-5,-3.0213650901048292,0.5851969099589139,0.2882578715990103,0.2795598456883293,0.3138579900840812,0.33436530570415973,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T14_00000000000000000000,289.1719337466188,3858.0,-0.004583138914120255,-7.345364920210326E-25,9498861.916197585,-2767029.021963279,97006.27493987218,303.33169145316685,3.313133774780011E-5,-3.057969961809054,0.8389436674742655,0.28718901947324904,0.27951976256967803,0.31378641890616565,0.33435203925106705,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T15_00000000000000000000,288.6737550250533,3858.0,-0.005928430383883581,-7.345364920210326E-25,1.2585297876742592E7,-3242411.9581514,96911.12268058056,304.38845593692616,3.313133774780011E-5,-3.249027562646878,1.145540863995148,0.2860678669228484,0.2794800250193731,0.3137154509677673,0.33434196519126735,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T16_00000000000000000000,288.466662857896,3858.0,-0.0072459263156879426,-7.345364920210326E-25,1.5567547673470458E7,-3748294.599584408,96819.15744577405,304.93247885580877,3.313133774780011E-5,-3.5109682678643277,1.302843320538415,0.28498161958490464,0.27944261493810296,0.31365122020736863,0.33433047955902445,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T17_00000000000000000000,288.7219208781512,3858.0,-0.008446102887917254,-7.345364920210326E-25,1.8206573956283845E7,-4262846.542532485,96755.51171320162,304.89638984740793,3.313133774780011E-5,-3.743332479106575,1.3014952717653185,0.2840272284449604,0.2794129357946759,0.3135940754041722,0.33432152929872444,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T18_00000000000000000000,289.3585267111856,3858.0,-0.009447107641942076,-7.345364920210326E-25,2.026913344799831E7,-4753938.412331001,96726.38217484973,304.25305483782586,3.313133774780011E-5,-3.971394065830042,1.278425362517891,0.28326994049924753,0.2793910534116343,0.3135518398081223,0.33431312448253836,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T19_00000000000000000000,290.036286109187,3858.0,-0.010232730900953139,-7.345364920210326E-25,2.1685045231416695E7,-5222427.1796254385,96761.350462281,303.12513997645203,3.313133774780011E-5,-3.8058349675197527,1.1511633623793331,0.2827213922902268,0.27937469972077356,0.31351873387893553,0.3343089178601971,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T20_00000000000000000000,290.9949918059926,3858.0,-0.010752925544536635,-7.345364920210326E-25,2.2332572221894886E7,-5608104.70293019,96803.85244427799,301.61216932103406,3.313133774780011E-5,-3.818682437655713,1.10323210965139,0.28239280856811466,0.27936980035631237,0.3135029356661131,0.3343061950545525,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T21_00000000000000000000,291.94708497503314,3858.0,-0.01105884275615162,-7.345364920210326E-25,2.2430472955494754E7,-5957886.160871165,96863.53651559784,299.8847679689246,3.313133774780011E-5,-3.52476494802318,1.1069887538430097,0.28223477627027094,0.279373060578932,0.31350027547215503,0.33430482321644917,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T22_00000000000000000000,292.7695692055254,3858.0,-0.011274611881642933,-7.345364920210326E-25,2.2430472955494754E7,-6252321.601399335,96939.12263167281,298.53233311635216,3.494289297753779E-5,-3.3746861099563428,0.9868119600175511,0.2821413993684939,0.2793771544199663,0.3134981932322251,0.3343048051553858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T23_00000000000000000000,293.3675283451773,3858.0,-0.011434324365956795,-7.345364920210326E-25,2.2430472955494754E7,-6506543.763638275,97023.91018111484,297.60542755793205,3.544343410558468E-5,-3.2389254223084394,0.7398427445205331,0.28206617263134903,0.2793816444003241,0.313498160722311,0.33430423763663847,"{""type"":""MultiPoint"",""coordinates"":[]}"
