Bacia,Estações,Melhor Resultado
674142,"RIACHO PITUBA, AÇUDE PÉ DE SERRA, ALTO ALEGRE, AÇUDE SENADOR FREITAS NETO, PIRACURUCA, AÇUDE PIRACURUCA, PIRACURUCA - JUSANTE, AÇUDE PIRACURUCA JUSANTE, RESERVATÓRIO GRANJEIRO, SANGRADOURO, RIO JABURU",10
674144,"AÇUDE CALDEIRÃO, RECURSO (CALDEIRÃO), AÇUDE CALDEIRÃO, AÇUDE CALDEIRÃO - COMPORTA, CAIÇARA I, AÇUDE ANAJÁS, CONGOS, CONGOS",6
674146,"BARRAS - CHURRASCARIA BOINHA, BARRAS - PI110, BARRAS - TAPUIO, RIACHO SANTO ANTÔNIO, AÇUDE BEZERROS, PEDRA BRANCA, PEDRINHAS, PEDRINHAS",2
674148,"BOA HORA, AÇUDE JOANA, GUARIBAS",0
674184,BOA VISTA EM MORRO DO CHAPEU,0
674198,UNIÃO,0
674214,ALTO LONGÁ,0
674216,MONSENHOR GIL,0
674218,AÇUDE TABOQUINHA,0
674226,PASSAGEM FRANCA II,0
674228,HUGO NAPOLEÃO,0
674242,"SANTA CRUZ DOS MILAGRES, SANTA CRUZ DOS MILAGRES",0
674258,NOVO SANTO ANTÔNIO,0
674264,AÇUDE SÃO VICENTE,0
674274,CASTELO - MONTANTE,0
674292,"AÇUDE SUCESSO, AÇUDE SÃO JOSÉ III",0
674294,"QUITERIANÓPOLIS, AÇUDE COLINA, AÇUDE FLOR DO CAMPO, AÇUDE CARNAUBAL",1
674296,AÇUDE CUPIM,0
674422,AÇUDE SALINAS,0
674426,"AÇUDE CAJAZEIRAS, AÇUDE PIAUS, AÇUDE BARREIRAS, AÇUDE BOCAINA, BOCAINA - JUSANTE, PICOS, AÇUDE FÁTIMA",6
674428,"AÇUDE ESTREITO, AÇUDE BARRAGEM SALGADINHO",1
674434,SÃO FRANCISCO DO PIAUÍ,0
674492,AÇUDE NONATO,0
674496,"AÇUDE MALHADINHA, FAZENDA ONÇA",0
674666,"CONTRATO, BOA VISTA",0
674674,LAMEIRÃO,0
674684,AÇUDE ALGODÕES II,0
674692,"FAZENDA BANANEIRA, PARNAGUÁ",0
674696,FAZENDA DE CIMA,0
674862,MARAVILHA BR-230,0
674958,MEDONHO,0
675112,"PORTO DO TABOLEIRO, PORTO DE VERA CRUZ, CAPITÂNIA",1
675116,SENADOR FREITAS NETO,0
675162,"QUATIGUABA, BOQUEIRÃO DO ITACOLOMI, TAPERA, BOQUEIRÃO PAULA PESSOA",2
675164,AÇUDE VÁRZEA DA VOLTA,0
675166,"AÇUDE DIAMANTE, AÇUDE ANGICOS",0
675168,AÇUDE TRAPIÁ III,0
675186,AÇUDE TUCUNDUBA,0
675188,AÇUDE MARTINÓPOLE,0
675214,"AÇUDE ACARAÚ MIRIM, AÇUDE ACARAÚ MIRIM",0
675216,SÍTIO DO MONTE,0
675218,"AÇUDE POCINHOS, POCINHOS - SANGRADOURO, OFICINAS, FAZENDA BELA VISTA, AÇUDE FORQUILHA, AÇUDE FORQUILHA, AÇUDE ARREBITA",4
675224,"AÇUDE AIRES DE SOUZA, AÇUDE AIRES DE SOUZA - MD, AÇUDE AIRES DE SOUZA",0
675252,"SANTA QUITÉRIA, CURRAL VELHO",1
675284,SÃO FRANCISCO,0
675294,IRAJÁ,0
675296,AÇUDE FARIAS DE SOUSA,0
675318,"FAZENDA MULUNGU, VILA NOVA, AÇUDE JATOBÁ II, AÇUDE JATOBÁ",1
675322,"AÇUDE SÃO GABRIEL, AÇUDE MISSI",0
675324,PATOS - SOBRAL,0
675326,AÇUDE GERARDO ATIMBONE,0
675328,AÇUDE SANTA MARIA DE ARACATI,0
675332,"AÇUDE JABURU I, BETÂNIA, AÇUDE QUANDÚ, AÇUDE POÇO VERDE, AÇUDE GAMELEIRA, TURURU, AÇUDE MUNDAU, BARRENTO",0
675342,"AÇUDE JERIMUM, AÇUDE CAXITORÉ, CAXITORE - CANAL DE FUGA, AÇUDE ITAPAJÉ",3
675344,"AÇUDE GENERAL SAMPAIO, GENERAL SAMPAIO - CANAL DE FUGA, AÇUDE TEJUÇUOCA, FAZENDA SÃO JOÃO, APUIARÉS, SERROTA SANGRADOURO, SERROTA CANAL PRINCIPAL 1, SERROTA CANAL PRINCIPAL 2, PONTE JOSÉ GOMES",3
675346,"AÇUDE DESTERRO, AÇUDE TRAPIÁ I",0
675352,"AÇUDE AMANARY, AÇUDE ITAPEBUSSU, SÂO VICENTE (PONTE BR-020), SÍTIOS NOVOS, AÇUDE SÍTIOS NOVOS, UMARITUBA NOVA, UMARITUBA - PONTE",3
675354,"CAMPO GRANDE, CAMPO GRANDE, CAUCAIA",0
675356,"PACATUBA, AÇUDE GAVIÃO, FORTALEZA, FORTALEZA",1
675358,"AÇUDE PAPARA, AÇUDE PENEDO, AÇUDE ACARAPÉ DO MEIO, BARRA NOVA, ACARAPÉ, AÇUDE HIPÓLITO, BAÚ, AÇUDE RIACHÃO, AÇUDE PACOTI",5
675362,"AÇUDE TIJUQUINHA, LABIRINTO, ARRAIAL, ARAÇOIABA, AÇUDE ARACOIABA",3
675364,AÇUDE PESQUEIRO,0
675366,AÇUDE CASTRO,0
675368,"POMPÉU SOBRINHO, AÇUDE POMPEU SOBRINHO",0
675414,"SÍTIO ÁGUA FRIA, SOUZA MELO (SANTO ANTÔNIO DE RUSSAS), AÇUDE SANTO ANTÔNIO DE RUSSAS, PALHANO",2
675422,"MELÕES, AÇUDE POÇO DO BARRO, AÇUDE CIPOADA",1
675424,"AÇUDE CEDRO, BOQUEIRÃO DE PEDRAS BRANCAS, AÇUDE PEDRAS BRANCAS",2
675426,"AÇUDE CAPITÃO MOR, AÇUDE SERAFIM DIAS, AÇUDE SÃO JOSÉ II, BOQUEIRÃO PATU, BOQUEIRÃO PATU, AÇUDE TRAPIÁ II, AÇUDE PATU, SENADOR POMPEU, SENADOR POMPEU, SENADOR POMPEU, PASSAGEM POÇO DA PEDRA, PASSAGEM POÇO DA PEDRA",7
675428,AÇUDE UMARI,0
675432,LAGOA DA PEDRA,0
675434,"AÇUDE CANAFÍSTULA, AÇUDE SANTA MARIA, AÇUDE SANTO ANTÔNIO, AÇUDE ADAUTO BEZERRA, AÇUDE EMA, AÇUDE EMA (RETIRO), AÇUDE POTIRETAMA, ALTO SANTO, ALTO SANTO, AÇUDE FIGUEIREDO, AÇUDE RIACHO DA SERRA",0
675436,"AÇUDE JENIPAPEIRO, AÇUDE TIGRE, RIACHO DO SANGUE - CANAL DE FUGA, AÇUDE RIACHO DO SANGUE, RIACHO DO SANGUE, JAGUARETAMA",4
675438,"AÇUDE NOVA FLORESTA, AÇUDE JOAQUIM TAVORA, AÇUDE FEITICEIRO",1
675442,"AÇUDE JUNCO, AÇUDE OLHO D'ÁGUA",1
675444,AÇUDE PRAZERES,0
675446,"AÇUDE THOMAS OSTERNE, AÇUDE MANOEL BALBINO, SÍTIO LAPINHA, CRATO, JUAZEIRO DO NORTE",3
675448,"AÇUDE QUIXABINHA, AÇUDE GOMES",1
675454,AÇUDE FAÉ,0
675456,"IGUATU, AÇUDE QUINCOE, IGUATU, AÇUDE TRUSSU, SUASSURANA, SUASSURANA",4
675462,"AÇUDE LATÃO, SÍTIO CONCEIÇÃO, AÇUDE MUQUEM",2
675464,AÇUDE VALÉRIO,0
675466,AÇUDE JOÃO LUIS,0
675468,AÇUDE CANOAS,0
675482,AÇUDE DO CORONEL,0
675484,AÇUDE BENQUE,0
675494,"AÇUDE PARAMBU, AÇUDE FACUNDO, AÇUDE ESPÍRITO SANTO",1
675496,"AÇUDE BROCO, AÇUDE TRICI",0
675498,AÇUDE FAVELAS,0
675562,"AÇUDE MORCEGO, AÇUDE MORCEGO, AÇUDE SANTO ANTONIO DE CARAÚBAS, AÇUDE UMARI MONTANTE, AÇUDE UMARI, AÇUDE UMARI JUSANTE, AUGUSTO SEVERO, UPANEMA, UPANEMA, SANTANA, FAZENDA ANGICOS, FAZENDA ANGICOS",11
675566,"AÇUDE RODEADOR MONTANTE, AÇUDE RODEADOR, AÇUDE LAURO MAIA, AÇUDE UMARIZAL (INSPETORIA), AÇUDE APANHA PEIXE, AÇUDE BREJO, AÇUDE TOURÃO, AÇUDE LUCRÉCIA MONTANTE, AÇUDE LUCRÉCIA",4
675568,"AÇUDE 25 DE MARÇO, AÇUDE ENCANTO MONTANTE, AÇUDE ENCANTO, AÇUDE BONITO, AÇUDE BONITO II",3
675614,LAGOA DO PIATO,0
